Type Object,Operator Code,Category,Name NL,Name FR,Streetname NL,Streetname FR,HouseNumber,PostalCode,Longitude,Latitude,Accessibility
mailbox,BPST,PBUS,RB-6000-001,RB-6000-001,Boulevard Joseph Tirou,Boulevard Joseph Tirou,20,6000,4.4386840,50.4084070,0
mailbox,BPST,PBUS,RB-5590-033,RB-5590-033,Place D'Odenas,Place D'Odenas,137,5590,5.1947610,50.2489860,0
mailbox,BPST,PBUS,RB-6960-001,RB-6960-001,Grand-Rue Grandmenil,Grand-Rue Grandmenil,32,6960,5.6591200,50.2921270,0
mailbox,BPST,PBUS,RB-1500-029,RB-1500-029,Heidestraat,Heidestraat,34,1502,4.2105200,50.7206380,0
mailbox,BPST,PBUS,RB-5350-004,RB-5350-004,Grande Ruelle,Grande Ruelle,146,5350,5.1104720,50.4396410,0
mailbox,BPST,PBUS,RB-3500-051,RB-3500-051,Kiezelstraat,Kiezelstraat,173,3500,5.3843780,50.9367660,0
mailbox,BPST,PBUS,RB-9000-117,RB-9000-117,Onderbergen,Onderbergen,17,9000,3.7198520,51.0520100,0
mailbox,BPST,PBUS,RB-9870-013,RB-9870-013,Brandstraat,Brandstraat,25,9870,3.5046950,50.9496580,0
mailbox,BPST,PBUS,RB-6840-016,RB-6840-016,Les Enclos Du Ruisseau,Les Enclos Du Ruisseau,11,6840,5.3905130,49.8314250,0
postalpoint,PSTN,BPPE,Mr Bricolage Mont-Saint-Jean,Mr Bricolage Mont-Saint-Jean,Chaussee de Charleroi,Chaussee de Charleroi,18A,1420,4.4069690,50.6865800,0
mailbox,BPST,PBUS,RB-1730-028,RB-1730-028,Lammeken,Lammeken,23,9160,3.9499930,51.1002430,0
mailbox,BPST,PBUS,RB-4990-012,RB-4990-012,Menil,Menil,9,4990,5.8349590,50.2911790,0
mailbox,BPST,PBUS,RB-3720-008,RB-3720-008,Dorpsplein,Dorpsplein,3,3721,5.4239790,50.8637930,0
mailbox,BPST,PBUS,RB-1140-006,RB-1140-006,Willebrord Van Perckstraat,Rue Willebrord Van Perck,45,1140,4.3952020,50.8744050,0
mailbox,BPST,PBUS,RB-8500-067,RB-8500-067,Munkendoornstraat,Munkendoornstraat,152,8510,3.2687440,50.7905750,0
mailbox,BPST,PBUS,RB-3300-037,RB-3300-037,Ganzendries,Ganzendries,97,3300,4.9938440,50.8259290,0
mailbox,BPST,PBUS,RB-6940-016,RB-6940-016,Place De Beaujeu,Place De Beaujeu,2,6940,5.4113660,50.3292800,0
mailbox,BPST,PBUS,RB-8400-070,RB-8400-070,Albert I-Promenade,Albert I-Promenade,1,8400,2.9213830,51.2346170,0
mailbox,BPST,PBUS,RB-8400-067,RB-8400-067,Derbylaan,Derbylaan,1,8400,2.8836490,51.2131180,0
mailbox,BPST,PBUS,RB-5520-002,RB-5520-002,Borgstraat,Borgstraat,134,2890,4.2060760,51.0513270,0
mailbox,BPST,PBUS,RB-6820-018,RB-6820-018,Rue Lambermont,Rue Lambermont,61,6820,5.1922460,49.7046390,0
mailbox,BPST,PBUS,RB-1360-022,RB-1360-022,Avenue Des Tourterelles,Avenue Des Tourterelles,18,1360,4.8090320,50.6230520,0
mailbox,BPST,PBUS,RB-9000-226,RB-9000-226,Spoorwegstraat,Spoorwegstraat,90,8930,3.1998380,50.7909520,0
mailbox,BPST,PBUS,RB-5000-164,RB-5000-164,Chaussée De Marche,Chaussée De Marche,170,5100,4.8852150,50.4549290,0
mailbox,BPST,PBUS,RB-3580-018,RB-3580-018,Heppensesteenweg,Heppensesteenweg,32,3581,5.2244220,51.0907550,0
mailbox,BPST,PBUS,RB-9660-007,RB-9660-007,Geraardsbergsestraat,Geraardsbergsestraat,4,9660,3.7594400,50.7979280,0
mailbox,BPST,PBUS,RB-4100-022,RB-4100-022,Place Des Verriers,Place Des Verriers,10B,4100,5.4941190,50.5899470,0
mailbox,BPST,PBUS,RB-3470-014,RB-3470-014,Kerkplein,Kerkplein,7,3471,4.9863590,50.8679410,0
mailbox,BPST,PBUS,RB-4790-016,RB-4790-016,Adam-Thomas-Strasse Aldringen,Adam-Thomas-Strasse Aldringen,3,4791,6.0245450,50.2210580,0
mailbox,BPST,PBUS,RB-3470-006,RB-3470-006,Stokstraat,Stokstraat,3,3470,4.9967050,50.8483950,0
mailbox,BPST,PBUS,RB-9400-013,RB-9400-013,Valleibaan,Valleibaan,17,9402,4.0470540,50.8144310,0
mailbox,BPST,PBUS,RB-7370-005,RB-7370-005,Place Verte,Place Verte,38,7370,3.7871260,50.3986040,0
mailbox,BPST,PBUS,RB-4050-008,RB-4050-008,Voie De L'Ardenne,Voie De L'Ardenne,57,4053,5.6079770,50.5943230,0
mailbox,BPST,PBUS,RB-2380-001,RB-2380-001,Bredaseweg,Bredaseweg,44/44A,2381,4.9379370,51.3963930,0
mailbox,BPST,PBUS,RB-5080-013,RB-5080-013,Rue Du Moulin St-Denis,Rue Du Moulin St-Denis,28,5081,4.7852510,50.5303010,0
mailbox,BPST,PBUS,RB-8580-008,RB-8580-008,Stampkotstraat,Stampkotstraat,47,8580,3.4346900,50.7773790,0
mailbox,BPST,PBUS,RB-5360-005,RB-5360-005,Rue De La Vallée Du Bocq,Rue De La Vallée Du Bocq,3,5361,5.2092200,50.3075070,0
mailbox,BPST,PBUS,RB-1370-010,RB-1370-010,Rue Des Trois Fontaines,Rue Des Trois Fontaines,1,1370,4.8563740,50.7096010,0
mailbox,BPST,PBUS,RB-6460-023,RB-6460-023,Rue Du Rond-Point,Rue Du Rond-Point,294,6464,4.3366630,49.9831350,0
mailbox,BPST,PBUS,RB-1910-014,RB-1910-014,Van Bellinghenlaan,Van Bellinghenlaan,43,1910,4.5595020,50.9332600,0
mailbox,BPST,PBUS,RB-1340-025,RB-1340-025,Avenue De L'Espinette,Avenue De L'Espinette,16,1348,4.6161020,50.6655350,0
mailbox,BPST,PBUS,RB-9880-017,RB-9880-017,Museumstraat,Museumstraat,67,9881,3.4946650,51.0942520,0
mailbox,BPST,PBUS,RB-9150-003,RB-9150-003,Bazelstraat,Bazelstraat,164,9150,4.3060380,51.1620500,0
mailbox,BPST,PBUS,RB-7730-011,RB-7730-011,Rue De L'Ancienne Douane,Rue De L'Ancienne Douane,1,7730,3.2672030,50.6673130,0
mailbox,BPST,PBUS,RB-7800-042,RB-7800-042,Place De Lanquesaint,Place De Lanquesaint,19,7800,3.8065880,50.6533610,0
mailbox,BPST,PBUS,RB-4000-162,RB-4000-162,Rue De La Barge,Rue De La Barge,174/22,4000,5.5378590,50.6118840,0
mailbox,BPST,PBUS,RB-4140-016,RB-4140-016,Hayen,Hayen,5,4140,5.6148860,50.5455960,0
mailbox,BPST,PBUS,RB-2000-100,RB-2000-100,Berkenveldplein,Berkenveldplein,59,2610,4.3840150,51.1676400,0
